timestamp,open,high,low,close,volume,age,quality,price_change,spike_detected,anomaly_type,log_timestamp
2026-07-28 08:15:00,1.13681,1.13708,1.13681,1.136935,748,55575000,STALE,0.0001099568089653058,True,spike,2026-07-29 06:46:31
2026-07-28 08:20:00,1.13693,1.13723,1.13692,1.137135,559,55275000,STALE,0.0001759115516717369,True,spike,2026-07-29 06:46:31
2026-07-28 08:25:00,1.13713,1.137135,1.13681,1.137005,604,54975000,STALE,-0.00011432239795627908,True,spike,2026-07-29 06:46:31
2026-07-28 08:40:00,1.136995,1.137145,1.13694,1.13712,398,54075000,STALE,0.00010554089709757797,True,spike,2026-07-29 06:46:31
2026-07-28 08:45:00,1.137125,1.137255,1.137015,1.137215,622,53775000,STALE,8.354439285218618e-05,True,spike,2026-07-29 06:46:31
2026-07-28 08:50:00,1.13722,1.13727,1.137055,1.13711,437,53475000,STALE,-9.23308257453348e-05,True,spike,2026-07-29 06:46:31
2026-07-28 08:55:00,1.13711,1.13727,1.137085,1.137255,360,53175000,STALE,0.00012751624732865174,True,spike,2026-07-29 06:46:31
2026-07-28 09:00:00,1.13726,1.13731,1.137125,1.13714,474,52875000,STALE,-0.00010112068093770521,True,spike,2026-07-29 06:46:31
2026-07-28 09:05:00,1.137135,1.137185,1.13677,1.13685,452,52575000,STALE,-0.0002550257663964661,True,spike,2026-07-29 06:46:31
2026-07-28 09:10:00,1.136855,1.136855,1.13664,1.13669,411,52275000,STALE,-0.00014073976338124794,True,spike,2026-07-29 06:46:31
2026-07-28 09:15:00,1.13669,1.136805,1.136685,1.136745,541,51975000,STALE,4.838610351098893e-05,True,spike,2026-07-29 06:46:31
2026-07-28 09:20:00,1.13675,1.136805,1.13662,1.136695,331,51675000,STALE,-4.398523855386749e-05,True,spike,2026-07-29 06:46:31
2026-07-28 09:25:00,1.1367,1.136725,1.136585,1.136595,387,51375000,STALE,-8.79743466805083e-05,True,spike,2026-07-29 06:46:31
2026-07-28 09:30:00,1.13659,1.13659,1.136345,1.13645,356,51075000,STALE,-0.00012757402592833422,True,spike,2026-07-29 06:46:31
2026-07-28 09:40:00,1.13644,1.13652,1.136235,1.13624,277,50475000,STALE,-0.00017598817359476548,True,spike,2026-07-29 06:46:31
2026-07-28 09:45:00,1.13624,1.136265,1.13602,1.136105,515,50175000,STALE,-0.00011881292684645661,True,spike,2026-07-29 06:46:31
2026-07-28 09:50:00,1.13611,1.13613,1.135825,1.135945,475,49875000,STALE,-0.00014083205337533933,True,spike,2026-07-29 06:46:31
2026-07-28 09:55:00,1.13594,1.13596,1.1356,1.135645,604,49575000,STALE,-0.0002640972934428998,True,spike,2026-07-29 06:46:31
2026-07-28 10:00:00,1.13564,1.13568,1.13553,1.135595,451,49275000,STALE,-4.402784320811648e-05,True,spike,2026-07-29 06:46:31
2026-07-28 10:05:00,1.1356,1.135605,1.135425,1.13543,608,48975000,STALE,-0.00014529827975640064,True,spike,2026-07-29 06:46:31
2026-07-28 10:10:00,1.13543,1.135745,1.135335,1.135675,591,48675000,STALE,0.00021577728261545914,True,spike,2026-07-29 06:46:31
2026-07-28 10:15:00,1.13568,1.135705,1.13548,1.135535,497,48375000,STALE,-0.00012327470447093258,True,spike,2026-07-29 06:46:31
2026-07-28 10:20:00,1.135545,1.135755,1.13548,1.13571,369,48075000,STALE,0.00015411237874651817,True,spike,2026-07-29 06:46:31
2026-07-28 10:25:00,1.13572,1.13577,1.13564,1.13564,614,47775000,STALE,-6.163545271242743e-05,True,spike,2026-07-29 06:46:31
2026-07-28 10:30:00,1.135635,1.13602,1.13561,1.136005,635,47475000,STALE,0.0003214046704940188,True,spike,2026-07-29 06:46:31
2026-07-28 10:35:00,1.136,1.136115,1.13579,1.13608,785,47175000,STALE,6.602083617601728e-05,True,spike,2026-07-29 06:46:31
2026-07-28 10:40:00,1.136085,1.136105,1.13573,1.135735,471,46875000,STALE,-0.0003036757974790305,True,spike,2026-07-29 06:46:31
2026-07-28 10:45:00,1.13573,1.13597,1.13573,1.13589,497,46575000,STALE,0.00013647549824580274,True,spike,2026-07-29 06:46:31
2026-07-28 10:50:00,1.13589,1.13621,1.135855,1.13619,482,46275000,STALE,0.0002641100810818475,True,spike,2026-07-29 06:46:31
2026-07-28 10:55:00,1.1362,1.13631,1.13603,1.136075,530,45975000,STALE,-0.0001012154657232811,True,spike,2026-07-29 06:46:31
2026-07-28 11:00:00,1.13608,1.13612,1.135905,1.135975,446,45675000,STALE,-8.80223576787964e-05,True,spike,2026-07-29 06:46:31
2026-07-28 11:05:00,1.13597,1.136025,1.13572,1.13574,455,45375000,STALE,-0.00020687074979641729,True,spike,2026-07-29 06:46:31
2026-07-28 11:10:00,1.135745,1.1359,1.135675,1.13584,374,45075000,STALE,8.80483209184657e-05,True,spike,2026-07-29 06:46:31
2026-07-28 11:15:00,1.135835,1.136255,1.135835,1.13619,1004,44775000,STALE,0.0003081419918298245,True,spike,2026-07-29 06:46:31
2026-07-28 11:20:00,1.136185,1.136455,1.136175,1.13644,650,44475000,STALE,0.00022003362113709457,True,spike,2026-07-29 06:46:31
2026-07-28 11:25:00,1.136445,1.13659,1.13636,1.13655,709,44175000,STALE,9.679349547719873e-05,True,spike,2026-07-29 06:46:31
2026-07-28 11:30:00,1.136545,1.136555,1.13633,1.136405,429,43875000,STALE,-0.00012757907703120352,True,spike,2026-07-29 06:46:31
2026-07-28 11:35:00,1.1364,1.13668,1.1364,1.13662,644,43575000,STALE,0.0001891931133706226,True,spike,2026-07-29 06:46:31
2026-07-28 11:40:00,1.136615,1.136655,1.13633,1.13635,418,43275000,STALE,-0.0002375464095299984,True,spike,2026-07-29 06:46:31
2026-07-28 11:45:00,1.13636,1.13642,1.13618,1.136185,379,42975000,STALE,-0.00014520174242083073,True,spike,2026-07-29 06:46:31
2026-07-28 11:50:00,1.13618,1.1365,1.136115,1.136425,623,42675000,STALE,0.00021123320585991756,True,spike,2026-07-29 06:46:31
2026-07-28 11:55:00,1.13643,1.13679,1.13639,1.13653,929,42375000,STALE,9.239501066948819e-05,True,spike,2026-07-29 06:46:31
2026-07-28 12:00:00,1.136525,1.13661,1.13618,1.136375,859,42075000,STALE,-0.0001363800339631016,True,spike,2026-07-29 06:46:31
2026-07-28 12:05:00,1.13638,1.13676,1.13637,1.13668,564,41775000,STALE,0.00026839731602690264,True,spike,2026-07-29 06:46:31
2026-07-28 12:10:00,1.136675,1.13668,1.13639,1.13652,392,41475000,STALE,-0.00014076081218983294,True,spike,2026-07-29 06:46:31
2026-07-28 12:20:00,1.13651,1.13659,1.136365,1.13638,522,40875000,STALE,-0.00011878417794752849,True,spike,2026-07-29 06:46:31
2026-07-28 12:25:00,1.13638,1.13639,1.136235,1.13628,463,40575000,STALE,-8.799873281828408e-05,True,spike,2026-07-29 06:46:31
2026-07-28 12:40:00,1.136275,1.136515,1.136185,1.136465,559,39675000,STALE,0.00016281198296197452,True,spike,2026-07-29 06:46:31
2026-07-28 12:45:00,1.136465,1.136745,1.136455,1.13674,715,39375000,STALE,0.00024197841552542343,True,spike,2026-07-29 06:46:31
2026-07-28 12:50:00,1.136745,1.136855,1.13649,1.136545,628,39075000,STALE,-0.0001715431848973159,True,spike,2026-07-29 06:46:31
2026-07-28 13:00:00,1.13659,1.136905,1.136585,1.13678,521,38475000,STALE,0.0001671667003932953,True,spike,2026-07-29 06:46:31
2026-07-28 13:05:00,1.13678,1.136975,1.136735,1.13696,727,38175000,STALE,0.00015834198349740092,True,spike,2026-07-29 06:46:31
2026-07-28 13:10:00,1.136955,1.13707,1.136675,1.13669,695,37875000,STALE,-0.00023747537292428955,True,spike,2026-07-29 06:46:31
2026-07-28 13:15:00,1.1367,1.13686,1.13662,1.136845,593,37575000,STALE,0.00013636083716761505,True,spike,2026-07-29 06:46:31
2026-07-28 13:25:00,1.136845,1.13686,1.136695,1.13674,488,36975000,STALE,-8.796312585768185e-05,True,spike,2026-07-29 06:46:31
2026-07-28 13:30:00,1.136735,1.13705,1.13672,1.136925,960,36675000,STALE,0.00016274609849209476,True,spike,2026-07-29 06:46:31
2026-07-28 13:35:00,1.13693,1.13704,1.13674,1.136855,787,36375000,STALE,-6.156958462522066e-05,True,spike,2026-07-29 06:46:31
2026-07-28 13:40:00,1.13685,1.13708,1.136835,1.136935,885,36075000,STALE,7.036957219708206e-05,True,spike,2026-07-29 06:46:31
2026-07-28 13:45:00,1.13694,1.137415,1.136825,1.137305,1304,35775000,STALE,0.000325436370592902,True,spike,2026-07-29 06:46:31
2026-07-28 14:00:00,1.137245,1.13743,1.13711,1.13741,977,34875000,STALE,0.0001362930916990468,True,spike,2026-07-29 06:46:31
2026-07-28 14:05:00,1.137405,1.137565,1.137175,1.13747,984,34575000,STALE,5.2751426486530306e-05,True,spike,2026-07-29 06:46:31
2026-07-28 14:10:00,1.13748,1.137595,1.13733,1.137395,742,34275000,STALE,-6.593580490044104e-05,True,spike,2026-07-29 06:46:31
2026-07-28 14:15:00,1.1374,1.1374,1.137155,1.13723,654,33975000,STALE,-0.00014506833597827118,True,spike,2026-07-29 06:46:31
2026-07-28 14:20:00,1.137225,1.13748,1.137225,1.137445,596,33675000,STALE,0.00018905586380957295,True,spike,2026-07-29 06:46:31
2026-07-28 14:25:00,1.13744,1.13783,1.13744,1.13781,1120,33375000,STALE,0.00032089463666373774,True,spike,2026-07-29 06:46:31
2026-07-28 14:30:00,1.137805,1.137905,1.137685,1.137695,731,33075000,STALE,-0.00010107135637771325,True,spike,2026-07-29 06:46:31
2026-07-28 14:40:00,1.13771,1.13799,1.137705,1.1379,770,32475000,STALE,0.00016700213586928747,True,spike,2026-07-29 06:46:31
2026-07-28 14:45:00,1.137895,1.1379,1.137615,1.13776,749,32175000,STALE,-0.0001230336584935321,True,spike,2026-07-29 06:46:31
2026-07-28 14:50:00,1.137755,1.13833,1.137725,1.138295,1283,31875000,STALE,0.000470222190971592,True,spike,2026-07-29 06:46:31
2026-07-28 14:55:00,1.13829,1.13865,1.138265,1.138575,2097,31575000,STALE,0.0002459819291131815,True,spike,2026-07-29 06:46:31
2026-07-28 15:00:00,1.13857,1.13873,1.138405,1.13844,1512,31275000,STALE,-0.00011856926421183189,True,spike,2026-07-29 06:46:31
2026-07-28 15:05:00,1.138435,1.13882,1.138395,1.138745,992,30975000,STALE,0.00026791047398200263,True,spike,2026-07-29 06:46:31
2026-07-28 15:10:00,1.13874,1.1396,1.138685,1.13944,2654,30675000,STALE,0.0006103210112888835,True,spike,2026-07-29 06:46:31
2026-07-28 15:15:00,1.139445,1.139585,1.13927,1.139585,1905,30375000,STALE,0.00012725549392689217,True,spike,2026-07-29 06:46:31
2026-07-28 15:20:00,1.13958,1.139935,1.139475,1.13949,1623,30075000,STALE,-8.336368063832644e-05,True,spike,2026-07-29 06:46:31
2026-07-28 15:25:00,1.139495,1.139815,1.139415,1.139595,1163,29775000,STALE,9.214648658617541e-05,True,spike,2026-07-29 06:46:31
2026-07-28 15:30:00,1.13959,1.139825,1.13942,1.13969,1423,29475000,STALE,8.336294911814868e-05,True,spike,2026-07-29 06:46:31
2026-07-28 15:35:00,1.139695,1.139845,1.1395,1.139575,1096,29175000,STALE,-0.0001009046319614404,True,spike,2026-07-29 06:46:31
2026-07-28 15:40:00,1.13959,1.140215,1.139575,1.140145,981,28875000,STALE,0.0005001864730271866,True,spike,2026-07-29 06:46:31
2026-07-28 15:45:00,1.140145,1.14015,1.13988,1.13992,744,28575000,STALE,-0.00019734332036702718,True,spike,2026-07-29 06:46:31
2026-07-28 15:55:00,1.139935,1.140065,1.13986,1.14004,815,27975000,STALE,9.649715333392983e-05,True,spike,2026-07-29 06:46:31
2026-07-28 16:05:00,1.140085,1.14019,1.13988,1.140175,787,27375000,STALE,8.332748579054083e-05,True,spike,2026-07-29 06:46:31
2026-07-28 16:15:00,1.14023,1.1404,1.140225,1.140345,616,26775000,STALE,0.00010524238637099614,True,spike,2026-07-29 06:46:31
2026-07-28 16:25:00,1.14034,1.14053,1.14034,1.1405,430,26175000,STALE,0.00013592377745341722,True,spike,2026-07-29 06:46:31
2026-07-28 16:30:00,1.140495,1.140505,1.14023,1.14041,676,25875000,STALE,-7.891275756255478e-05,True,spike,2026-07-29 06:46:31
2026-07-28 16:35:00,1.14041,1.140445,1.14021,1.14022,447,25575000,STALE,-0.00016660674669632947,True,spike,2026-07-29 06:46:31
2026-07-28 16:40:00,1.14022,1.14022,1.14002,1.14003,664,25275000,STALE,-0.00016663450912979272,True,spike,2026-07-29 06:46:31
2026-07-28 16:45:00,1.140035,1.140085,1.13972,1.13972,953,24975000,STALE,-0.00027192266870168513,True,spike,2026-07-29 06:46:31
2026-07-28 16:50:00,1.13972,1.13988,1.139715,1.1398,726,24675000,STALE,7.019267890351344e-05,True,spike,2026-07-29 06:46:31
2026-07-28 16:55:00,1.139795,1.13984,1.13957,1.13959,446,24375000,STALE,-0.00018424284962259563,True,spike,2026-07-29 06:46:31
2026-07-28 17:00:00,1.139595,1.139735,1.13954,1.13968,641,24075000,STALE,7.897577198812122e-05,True,spike,2026-07-29 06:46:31
2026-07-28 17:05:00,1.13968,1.139745,1.139505,1.13952,660,23775000,STALE,-0.00014039028499224226,True,spike,2026-07-29 06:46:31
2026-07-28 17:10:00,1.139515,1.13952,1.139345,1.139405,798,23475000,STALE,-0.00010091968548164854,True,spike,2026-07-29 06:46:31
2026-07-28 17:20:00,1.139435,1.13979,1.13932,1.13933,795,22875000,STALE,-9.215093445436029e-05,True,spike,2026-07-29 06:46:31
2026-07-28 17:30:00,1.139305,1.139415,1.139235,1.1394,400,22275000,STALE,8.338416841846552e-05,True,spike,2026-07-29 06:46:31
2026-07-28 17:35:00,1.1394,1.1394,1.139225,1.139345,284,21975000,STALE,-4.827101983495563e-05,True,spike,2026-07-29 06:46:31
2026-07-28 17:40:00,1.139345,1.139345,1.13917,1.1392,415,21675000,STALE,-0.0001272661046478607,True,spike,2026-07-29 06:46:31
2026-07-28 17:45:00,1.1392,1.13924,1.139055,1.13913,582,21375000,STALE,-6.144662921347965e-05,True,spike,2026-07-29 06:46:31
2026-07-28 17:50:00,1.139125,1.13913,1.13901,1.139075,391,21075000,STALE,-4.828246117638546e-05,True,spike,2026-07-29 06:46:31
2026-07-28 17:55:00,1.13908,1.139115,1.13883,1.13892,745,20775000,STALE,-0.0001360753242763968,True,spike,2026-07-29 06:46:31
2026-07-28 18:05:00,1.13891,1.138985,1.13885,1.138965,448,20175000,STALE,4.829178776200038e-05,True,spike,2026-07-29 06:46:31
2026-07-28 18:10:00,1.138975,1.13901,1.138785,1.13893,338,19875000,STALE,-3.0729653676786484e-05,True,spike,2026-07-29 06:46:31
2026-07-28 18:15:00,1.13893,1.139155,1.138925,1.13909,282,19575000,STALE,0.00014048273379385634,True,spike,2026-07-29 06:46:31
2026-07-28 18:20:00,1.139085,1.13909,1.13888,1.13888,376,19275000,STALE,-0.00018435768903246608,True,spike,2026-07-29 06:46:31
2026-07-28 18:25:00,1.13888,1.138885,1.138725,1.138785,471,18975000,STALE,-8.341528519240082e-05,True,spike,2026-07-29 06:46:31
2026-07-28 18:35:00,1.13877,1.138915,1.138765,1.13884,150,18375000,STALE,6.146983148491714e-05,True,spike,2026-07-29 06:46:31
2026-07-28 18:45:00,1.13883,1.13883,1.13862,1.13869,283,17775000,STALE,-0.00012293318581357848,True,spike,2026-07-29 06:46:31
2026-07-28 19:00:00,1.138675,1.13884,1.138625,1.13884,280,16875000,STALE,0.00014929698683552317,True,spike,2026-07-29 06:46:31
2026-07-28 19:05:00,1.13884,1.139045,1.13884,1.13894,393,16575000,STALE,8.780864739565963e-05,True,spike,2026-07-29 06:46:31
2026-07-28 19:10:00,1.13894,1.13896,1.13877,1.13882,201,16275000,STALE,-0.00010536112525694197,True,spike,2026-07-29 06:46:31
2026-07-28 19:15:00,1.13882,1.138995,1.138795,1.138995,182,15975000,STALE,0.0001536678316151896,True,spike,2026-07-29 06:46:31
